,hospital_id,row_id,line_type,description,rev_code,local_code,code,ms_drg,apr_drg,eapg,hcpcs_cpt,modifiers,thru,apc,icd,ndc,drug_hcpcs_multiplier,drug_quantity,drug_units_of_measurement,drug_type_of_measurement,billing_class,setting,payer_category,payer_name,plan_name,standard_charge,standard_charge_percent,contracting_method,additional_generic_notes,additional_payer_specific_notes
1159,383300,1160,CPT,CLOSED TREATMENT OF BROKEN FOREARM (RADIUS) BONE AT THE WRIST AREA ON THE THUMB SIDE OF THE WRIST WITHOUT MANIPULATION,,,,,,,25600,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,633.25,,Capitation,Package,
1160,383300,1161,CPT,CLOSED TREATMENT OF BROKEN FOREARM (RADIUS) BONE AT THE WRIST AREA ON THE THUMB SIDE OF THE WRIST WITHOUT MANIPULATION,,,,,,,25600,,,,,,,,,,facility,outpatient,payer,United Healthcare-Commercial HMO/POS,,428.33,,Capitation,Package,
1161,383300,1162,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,gross,,,2645.8,,Capitation,Line,
1162,383300,1163,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,cash,,,2645.8,,Capitation,Line,
1163,383300,1164,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,min,,,454.53,,Capitation,Line,
1164,383300,1165,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,max,,,1839.23,,Capitation,Line,
1166,383300,1167,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,489.45,,Capitation,Line,
1167,383300,1168,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,488.33,,Capitation,Line,
1168,383300,1169,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,payer,Providence-Commercial other,,454.53,,Capitation,Line,
1169,383300,1170,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,1839.23,,Capitation,Line,
1170,383300,1171,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,payer,United Healthcare-Commercial HMO/POS,,988,,Capitation,Line,
1171,383300,1172,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,gross,,,2645.8,,Capitation,Package,
1172,383300,1173,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,cash,,,2645.8,,Capitation,Package,
1173,383300,1174,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,min,,,454.53,,Capitation,Package,
1174,383300,1175,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,max,,,1839.23,,Capitation,Package,
1176,383300,1177,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,489.45,,Capitation,Package,
1177,383300,1178,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,488.33,,Capitation,Package,
1178,383300,1179,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,payer,Providence-Commercial other,,454.53,,Capitation,Package,
1179,383300,1180,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,1839.23,,Capitation,Package,
1180,383300,1181,CPT,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,,,,,,,25605,,,,,,,,,,facility,outpatient,payer,United Healthcare-Commercial HMO/POS,,988,,Capitation,Package,
1181,383300,1182,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN FOREARM BONE ON THUMB SIDE AT WRIST,,,,,,,25606,,,,,,,,,,facility,outpatient,gross,,,7629.74,,Capitation,Line,
1182,383300,1183,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN FOREARM BONE ON THUMB SIDE AT WRIST,,,,,,,25606,,,,,,,,,,facility,outpatient,cash,,,7629.74,,Capitation,Line,
1183,383300,1184,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN FOREARM BONE ON THUMB SIDE AT WRIST,,,,,,,25606,,,,,,,,,,facility,outpatient,min,,,5061.85,,Capitation,Line,
1184,383300,1185,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN FOREARM BONE ON THUMB SIDE AT WRIST,,,,,,,25606,,,,,,,,,,facility,outpatient,max,,,5626,,Capitation,Line,
1186,383300,1187,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN FOREARM BONE ON THUMB SIDE AT WRIST,,,,,,,25606,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,5061.85,,Capitation,Line,
1187,383300,1188,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN FOREARM BONE ON THUMB SIDE AT WRIST,,,,,,,25606,,,,,,,,,,facility,outpatient,payer,Providence-Commercial other,,5626,,Capitation,Line,
1188,383300,1189,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN FOREARM BONE ON THUMB SIDE AT WRIST,,,,,,,25606,,,,,,,,,,facility,outpatient,gross,,,8151.88,,Capitation,Package,
1189,383300,1190,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN FOREARM BONE ON THUMB SIDE AT WRIST,,,,,,,25606,,,,,,,,,,facility,outpatient,cash,,,8151.88,,Capitation,Package,
1190,383300,1191,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN FOREARM BONE ON THUMB SIDE AT WRIST,,,,,,,25606,,,,,,,,,,facility,outpatient,min,,,5061.85,,Capitation,Package,
1191,383300,1192,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN FOREARM BONE ON THUMB SIDE AT WRIST,,,,,,,25606,,,,,,,,,,facility,outpatient,max,,,5626,,Capitation,Package,
1193,383300,1194,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN FOREARM BONE ON THUMB SIDE AT WRIST,,,,,,,25606,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,5061.85,,Capitation,Package,
1194,383300,1195,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN FOREARM BONE ON THUMB SIDE AT WRIST,,,,,,,25606,,,,,,,,,,facility,outpatient,payer,Providence-Commercial other,,5626,,Capitation,Package,
1195,383300,1196,CPT,"TREATMENT OF BROKEN FOREARM BONE ON THUMB SIDE OF WRIST, ABOVE WRIST, WITH PLACEMENT OF STABILIZING DEVICE",,,,,,,25607,,,,,,,,,,facility,outpatient,gross,,,11088.2,,Capitation,Line,
1196,383300,1197,CPT,"TREATMENT OF BROKEN FOREARM BONE ON THUMB SIDE OF WRIST, ABOVE WRIST, WITH PLACEMENT OF STABILIZING DEVICE",,,,,,,25607,,,,,,,,,,facility,outpatient,cash,,,11088.2,,Capitation,Line,
1197,383300,1198,CPT,"TREATMENT OF BROKEN FOREARM BONE ON THUMB SIDE OF WRIST, ABOVE WRIST, WITH PLACEMENT OF STABILIZING DEVICE",,,,,,,25607,,,,,,,,,,facility,outpatient,min,,,701.31,,Capitation,Line,
1198,383300,1199,CPT,"TREATMENT OF BROKEN FOREARM BONE ON THUMB SIDE OF WRIST, ABOVE WRIST, WITH PLACEMENT OF STABILIZING DEVICE",,,,,,,25607,,,,,,,,,,facility,outpatient,max,,,17435.97,,Capitation,Line,
1200,383300,1201,CPT,"TREATMENT OF BROKEN FOREARM BONE ON THUMB SIDE OF WRIST, ABOVE WRIST, WITH PLACEMENT OF STABILIZING DEVICE",,,,,,,25607,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,701.31,,Capitation,Line,
1201,383300,1202,CPT,"TREATMENT OF BROKEN FOREARM BONE ON THUMB SIDE OF WRIST, ABOVE WRIST, WITH PLACEMENT OF STABILIZING DEVICE",,,,,,,25607,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,17435.97,,Capitation,Line,
1202,383300,1203,CPT,"TREATMENT OF BROKEN FOREARM BONE ON THUMB SIDE OF WRIST, ABOVE WRIST, WITH PLACEMENT OF STABILIZING DEVICE",,,,,,,25607,,,,,,,,,,facility,outpatient,gross,,,12070.17,,Capitation,Package,
1203,383300,1204,CPT,"TREATMENT OF BROKEN FOREARM BONE ON THUMB SIDE OF WRIST, ABOVE WRIST, WITH PLACEMENT OF STABILIZING DEVICE",,,,,,,25607,,,,,,,,,,facility,outpatient,cash,,,12070.17,,Capitation,Package,
1204,383300,1205,CPT,"TREATMENT OF BROKEN FOREARM BONE ON THUMB SIDE OF WRIST, ABOVE WRIST, WITH PLACEMENT OF STABILIZING DEVICE",,,,,,,25607,,,,,,,,,,facility,outpatient,min,,,701.31,,Capitation,Package,
1205,383300,1206,CPT,"TREATMENT OF BROKEN FOREARM BONE ON THUMB SIDE OF WRIST, ABOVE WRIST, WITH PLACEMENT OF STABILIZING DEVICE",,,,,,,25607,,,,,,,,,,facility,outpatient,max,,,17435.97,,Capitation,Package,
1207,383300,1208,CPT,"TREATMENT OF BROKEN FOREARM BONE ON THUMB SIDE OF WRIST, ABOVE WRIST, WITH PLACEMENT OF STABILIZING DEVICE",,,,,,,25607,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,701.31,,Capitation,Package,
1208,383300,1209,CPT,"TREATMENT OF BROKEN FOREARM BONE ON THUMB SIDE OF WRIST, ABOVE WRIST, WITH PLACEMENT OF STABILIZING DEVICE",,,,,,,25607,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,17435.97,,Capitation,Package,
1209,383300,1210,CPT,TREATMENT OF 3 OR MORE BROKEN LOWER FOREARM BONE PIECES ON THUMB SIDE INSIDE WRIST JOINT WITH PLACEMENT OF STABILIZING DEVICE,,,,,,,25609,,,,,,,,,,facility,outpatient,gross,,,15048.2,,Capitation,Line,
1210,383300,1211,CPT,TREATMENT OF 3 OR MORE BROKEN LOWER FOREARM BONE PIECES ON THUMB SIDE INSIDE WRIST JOINT WITH PLACEMENT OF STABILIZING DEVICE,,,,,,,25609,,,,,,,,,,facility,outpatient,cash,,,15048.2,,Capitation,Line,
1211,383300,1212,CPT,TREATMENT OF 3 OR MORE BROKEN LOWER FOREARM BONE PIECES ON THUMB SIDE INSIDE WRIST JOINT WITH PLACEMENT OF STABILIZING DEVICE,,,,,,,25609,,,,,,,,,,facility,outpatient,gross,,,17200.02,,Capitation,Package,
1212,383300,1213,CPT,TREATMENT OF 3 OR MORE BROKEN LOWER FOREARM BONE PIECES ON THUMB SIDE INSIDE WRIST JOINT WITH PLACEMENT OF STABILIZING DEVICE,,,,,,,25609,,,,,,,,,,facility,outpatient,cash,,,17200.02,,Capitation,Package,
1213,383300,1214,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,gross,,,644.15,,Capitation,Line,
1214,383300,1215,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,cash,,,644.15,,Capitation,Line,
1215,383300,1216,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,min,,,270.97,,Capitation,Line,
1216,383300,1217,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,max,,,668.34,,Capitation,Line,
1218,383300,1219,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,270.97,,Capitation,Line,
1219,383300,1220,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,609.09,,Capitation,Line,
1220,383300,1221,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,668.34,,Capitation,Line,
1221,383300,1222,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,gross,,,644.15,,Capitation,Package,
1222,383300,1223,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,cash,,,644.15,,Capitation,Package,
1223,383300,1224,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,min,,,270.97,,Capitation,Package,
1224,383300,1225,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,max,,,668.34,,Capitation,Package,
1226,383300,1227,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,270.97,,Capitation,Package,
1227,383300,1228,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,609.09,,Capitation,Package,
1228,383300,1229,CPT,CLOSED TREATMENT OF BROKEN WRIST BONE NEAR BASE OF THUMB,,,,,,,25622,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,668.34,,Capitation,Package,
1229,383300,1230,CPT,TREATMENT OF BROKEN WRIST BONE LOCATED NEAR BASE OF THUMB,,,,,,,25628,,,,,,,,,,facility,outpatient,gross,,,12408.2,,Capitation,Line,
1230,383300,1231,CPT,TREATMENT OF BROKEN WRIST BONE LOCATED NEAR BASE OF THUMB,,,,,,,25628,,,,,,,,,,facility,outpatient,cash,,,12408.2,,Capitation,Line,
1231,383300,1232,CPT,TREATMENT OF BROKEN WRIST BONE LOCATED NEAR BASE OF THUMB,,,,,,,25628,,,,,,,,,,facility,outpatient,min,,,683.76,,Capitation,Line,
1232,383300,1233,CPT,TREATMENT OF BROKEN WRIST BONE LOCATED NEAR BASE OF THUMB,,,,,,,25628,,,,,,,,,,facility,outpatient,max,,,3055.96,,Capitation,Line,
1234,383300,1235,CPT,TREATMENT OF BROKEN WRIST BONE LOCATED NEAR BASE OF THUMB,,,,,,,25628,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,683.76,,Capitation,Line,
1235,383300,1236,CPT,TREATMENT OF BROKEN WRIST BONE LOCATED NEAR BASE OF THUMB,,,,,,,25628,,,,,,,,,,facility,outpatient,payer,ODS-Medicaid HMO,,3055.96,,Capitation,Line,
1236,383300,1237,CPT,TREATMENT OF BROKEN WRIST BONE LOCATED NEAR BASE OF THUMB,,,,,,,25628,,,,,,,,,,facility,outpatient,gross,,,15897.98,,Capitation,Package,
1237,383300,1238,CPT,TREATMENT OF BROKEN WRIST BONE LOCATED NEAR BASE OF THUMB,,,,,,,25628,,,,,,,,,,facility,outpatient,cash,,,15897.98,,Capitation,Package,
1238,383300,1239,CPT,TREATMENT OF BROKEN WRIST BONE LOCATED NEAR BASE OF THUMB,,,,,,,25628,,,,,,,,,,facility,outpatient,min,,,683.76,,Capitation,Package,
1239,383300,1240,CPT,TREATMENT OF BROKEN WRIST BONE LOCATED NEAR BASE OF THUMB,,,,,,,25628,,,,,,,,,,facility,outpatient,max,,,3055.96,,Capitation,Package,
1241,383300,1242,CPT,TREATMENT OF BROKEN WRIST BONE LOCATED NEAR BASE OF THUMB,,,,,,,25628,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,683.76,,Capitation,Package,
1242,383300,1243,CPT,TREATMENT OF BROKEN WRIST BONE LOCATED NEAR BASE OF THUMB,,,,,,,25628,,,,,,,,,,facility,outpatient,payer,ODS-Medicaid HMO,,3055.96,,Capitation,Package,
1243,383300,1244,CPT,CLOSED TREATMENT OF BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25650,,,,,,,,,,facility,outpatient,gross,,,700.1,,Capitation,Line,
1244,383300,1245,CPT,CLOSED TREATMENT OF BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25650,,,,,,,,,,facility,outpatient,cash,,,700.1,,Capitation,Line,
1245,383300,1246,CPT,CLOSED TREATMENT OF BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25650,,,,,,,,,,facility,outpatient,min,,,525.08,,Capitation,Line,
1246,383300,1247,CPT,CLOSED TREATMENT OF BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25650,,,,,,,,,,facility,outpatient,max,,,525.08,,Capitation,Line,
1248,383300,1249,CPT,CLOSED TREATMENT OF BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25650,,,,,,,,,,facility,outpatient,payer,Aetna-Commercial HMO/POS,,525.08,,Capitation,Line,
1249,383300,1250,CPT,CLOSED TREATMENT OF BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25650,,,,,,,,,,facility,outpatient,gross,,,1051.7,,Capitation,Package,
1250,383300,1251,CPT,CLOSED TREATMENT OF BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25650,,,,,,,,,,facility,outpatient,cash,,,1051.7,,Capitation,Package,
1251,383300,1252,CPT,CLOSED TREATMENT OF BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25650,,,,,,,,,,facility,outpatient,min,,,525.08,,Capitation,Package,
1252,383300,1253,CPT,CLOSED TREATMENT OF BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25650,,,,,,,,,,facility,outpatient,max,,,525.08,,Capitation,Package,
1254,383300,1255,CPT,CLOSED TREATMENT OF BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25650,,,,,,,,,,facility,outpatient,payer,Aetna-Commercial HMO/POS,,525.08,,Capitation,Package,
1255,383300,1256,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25651,,,,,,,,,,facility,outpatient,gross,,,5544.1,,Capitation,Line,
1256,383300,1257,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25651,,,,,,,,,,facility,outpatient,cash,,,5544.1,,Capitation,Line,
1257,383300,1258,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25651,,,,,,,,,,facility,outpatient,gross,,,12132.86,,Capitation,Package,
1258,383300,1259,CPT,PLACEMENT OF STABILIZING DEVICE FOR BROKEN BASE OF FOREARM BONE ON SMALL FINGER SIDE AT WRIST,,,,,,,25651,,,,,,,,,,facility,outpatient,cash,,,12132.86,,Capitation,Package,
1259,383300,1260,CPT,COMPLETE FUSION OF WRIST JOINT,,,,,,,25800,,,,,,,,,,facility,outpatient,gross,,,4217.39,,Capitation,Line,
1260,383300,1261,CPT,COMPLETE FUSION OF WRIST JOINT,,,,,,,25800,,,,,,,,,,facility,outpatient,cash,,,4217.39,,Capitation,Line,
1261,383300,1262,CPT,COMPLETE FUSION OF WRIST JOINT,,,,,,,25800,,,,,,,,,,facility,outpatient,min,,,2634.37,,Capitation,Line,
1262,383300,1263,CPT,COMPLETE FUSION OF WRIST JOINT,,,,,,,25800,,,,,,,,,,facility,outpatient,max,,,2634.37,,Capitation,Line,
1264,383300,1265,CPT,COMPLETE FUSION OF WRIST JOINT,,,,,,,25800,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,2634.37,,Capitation,Line,
1265,383300,1266,CPT,COMPLETE FUSION OF WRIST JOINT,,,,,,,25800,,,,,,,,,,facility,outpatient,gross,,,5388.69,,Capitation,Package,
1266,383300,1267,CPT,COMPLETE FUSION OF WRIST JOINT,,,,,,,25800,,,,,,,,,,facility,outpatient,cash,,,5388.69,,Capitation,Package,
1267,383300,1268,CPT,COMPLETE FUSION OF WRIST JOINT,,,,,,,25800,,,,,,,,,,facility,outpatient,min,,,2634.37,,Capitation,Package,
1268,383300,1269,CPT,COMPLETE FUSION OF WRIST JOINT,,,,,,,25800,,,,,,,,,,facility,outpatient,max,,,2634.37,,Capitation,Package,
1270,383300,1271,CPT,COMPLETE FUSION OF WRIST JOINT,,,,,,,25800,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,2634.37,,Capitation,Package,
1271,383300,1272,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,gross,,,7485.66,,Capitation,Line,
1272,383300,1273,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,cash,,,7485.66,,Capitation,Line,
1273,383300,1274,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,min,,,255.92,,Capitation,Line,
1274,383300,1275,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,max,,,4501,,Capitation,Line,
1276,383300,1277,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,255.92,,Capitation,Line,
1277,383300,1278,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,payer,MODA-Medicaid HMO,,1859.03,,Capitation,Line,
1278,383300,1279,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,payer,ODS-Medicaid HMO,,1859.03,,Capitation,Line,
1279,383300,1280,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,payer,Providence-Commercial other,,4501,,Capitation,Line,
1280,383300,1281,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,1569.47,,Capitation,Line,
1281,383300,1282,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,payer,Samaritan-Commercial other,,941.7,,Capitation,Line,
1282,383300,1283,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,gross,,,7831.44,,Capitation,Package,
1283,383300,1284,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,cash,,,7831.44,,Capitation,Package,
1284,383300,1285,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,min,,,255.92,,Capitation,Package,
1285,383300,1286,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,max,,,4501,,Capitation,Package,
1287,383300,1288,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,255.92,,Capitation,Package,
1288,383300,1289,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,payer,MODA-Medicaid HMO,,1859.03,,Capitation,Package,
1289,383300,1290,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,payer,ODS-Medicaid HMO,,1859.03,,Capitation,Package,
1290,383300,1291,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,payer,Providence-Commercial other,,4501,,Capitation,Package,
1291,383300,1292,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,1569.47,,Capitation,Package,
1292,383300,1293,CPT,INCISION OF TENDON COVERING OF FINGER,,,,,,,26055,,,,,,,,,,facility,outpatient,payer,Samaritan-Commercial other,,941.7,,Capitation,Package,
1293,383300,1294,CPT,REMOVAL (1.5 CENTIMETERS OR GREATER) TISSUE BENEATH THE SKIN GROWTH OF HAND OR FINGER,,,,,,,26111,,,,,,,,,,facility,outpatient,gross,,,4576.07,,Capitation,Line,
1294,383300,1295,CPT,REMOVAL (1.5 CENTIMETERS OR GREATER) TISSUE BENEATH THE SKIN GROWTH OF HAND OR FINGER,,,,,,,26111,,,,,,,,,,facility,outpatient,cash,,,4576.07,,Capitation,Line,
1295,383300,1296,CPT,REMOVAL (1.5 CENTIMETERS OR GREATER) TISSUE BENEATH THE SKIN GROWTH OF HAND OR FINGER,,,,,,,26111,,,,,,,,,,facility,outpatient,min,,,394.05,,Capitation,Line,
1296,383300,1297,CPT,REMOVAL (1.5 CENTIMETERS OR GREATER) TISSUE BENEATH THE SKIN GROWTH OF HAND OR FINGER,,,,,,,26111,,,,,,,,,,facility,outpatient,max,,,394.05,,Capitation,Line,
1298,383300,1299,CPT,REMOVAL (1.5 CENTIMETERS OR GREATER) TISSUE BENEATH THE SKIN GROWTH OF HAND OR FINGER,,,,,,,26111,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,394.05,,Capitation,Line,
1299,383300,1300,CPT,REMOVAL (1.5 CENTIMETERS OR GREATER) TISSUE BENEATH THE SKIN GROWTH OF HAND OR FINGER,,,,,,,26111,,,,,,,,,,facility,outpatient,gross,,,10239.92,,Capitation,Package,
