,Hospital,Procedure Code,HCPCS,Code Code,Procedure Name,Affiliation,Cost
2459,Legacy Good Samaritan Medical Center,302,86235,CDM Revenue Code,HC _SSB (LA)  ANTIBODY IGG,Normal Price,129
2460,Legacy Good Samaritan Medical Center,302,86235,CDM Revenue Code,HC MYOSITIS PANEL EXTENDED ARUP,Normal Price,122
2461,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC PNPAB PURKINJE CELL TYPE 1,Normal Price,115
2462,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC PNPAB CRMP 5 IGG S,Normal Price,115
2463,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC PNPAB PURKINJE CELL TYPE 2,Normal Price,115
2464,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC PNPAB ANTI NEURONAL TYPE 3,Normal Price,115
2465,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC PNPAB ANTI NEURONAL NUC TYPE 1,Normal Price,115
2466,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC PNPAB ANTI NEURONAL NUC TYPE 2,Normal Price,115
2467,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC PNPAB AMPHYIPHSIN S,Normal Price,115
2468,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC PNPAB ANTI GIAL NUC TYPE 1,Normal Price,115
2469,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC CYTOPLASMIC NEUTROPHILIC ANTIBODY S,Normal Price,149
2470,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC GBM ANTIBODY IGG (IFA),Normal Price,165
2471,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC _ACHR MODULATING FLOW CYTOMETRY MAYO,Normal Price,347
2472,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC _CASPR2 IGG CBA,Normal Price,825
2473,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC _LGI1 IGG CBA,Normal Price,825
2474,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC PNPAB PURKINJE CELL TYPE TR,Normal Price,115
2475,Legacy Good Samaritan Medical Center,302,86255,CDM Revenue Code,HC STRIATED MUSCLE ANTIBODY IGG WITH REFLEX,Normal Price,165
2476,Legacy Good Samaritan Medical Center,302,86256,CDM Revenue Code,HC _DNA-DS IGG ANTIBODY TITER,Normal Price,108
2477,Legacy Good Samaritan Medical Center,302,86256,CDM Revenue Code,HC _DNADS AB BY CRITHIDIA IFA IGG MAYO,Normal Price,391
2478,Legacy Good Samaritan Medical Center,302,86256,CDM Revenue Code,HC _SMOOTH MUSCLE ANTIBODY TITER,Normal Price,45
2479,Legacy Good Samaritan Medical Center,302,86256,CDM Revenue Code,HC _NMO FACS TITER (NMO OPTICA/AQP4) IGG,Normal Price,270
2480,Legacy Good Samaritan Medical Center,302,86256,CDM Revenue Code,HC _STRIATED MUSCLE ANTIBODIES IGG TITER,Normal Price,170
2481,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 4 IGG,Normal Price,13
2482,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 5 IGG,Normal Price,13
2483,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 6B IGG,Normal Price,13
2484,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 3 IGG,Normal Price,14
2485,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 7F IGG,Normal Price,13
2486,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 9N IGG,Normal Price,13
2487,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 14 IGG,Normal Price,13
2488,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 8 IGG,Normal Price,13
2489,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 9V IGG,Normal Price,13
2490,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 12F IGG,Normal Price,13
2491,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 18C IGG,Normal Price,13
2492,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 19F IGG,Normal Price,13
2493,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 23F IGG,Normal Price,13
2494,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC CSF 14-3-3 PROTEIN TAU TOTAL,Normal Price,648
2495,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC PNEUMOCOCCAL SEROTYPE 1 IGG,Normal Price,14
2496,Legacy Good Samaritan Medical Center,302,86331,CDM Revenue Code,HC ASPERGILLUS FUMIGATUS 6 ALLERGEN,Normal Price,27
2497,Legacy Good Samaritan Medical Center,302,86331,CDM Revenue Code,HC AUREBASIDIUM PULLALANS ALLERGEN,Normal Price,29
2498,Legacy Good Samaritan Medical Center,302,86331,CDM Revenue Code,HC PIGEON ALLERGEN,Normal Price,29
2499,Legacy Good Samaritan Medical Center,302,86331,CDM Revenue Code,HC MICROPOLYSPORA FAENI ALLERGEN,Normal Price,29
2500,Legacy Good Samaritan Medical Center,302,86331,CDM Revenue Code,HC THERMOACTINOMYCES VULGARIS 1 ALLERGEN,Normal Price,29
2501,Legacy Good Samaritan Medical Center,302,86331,CDM Revenue Code,HC SACCAROMONOSPORA VIRIDIS,Normal Price,28
2502,Legacy Good Samaritan Medical Center,302,86331,CDM Revenue Code,HC ALLERGEN THERMOACTINOMYCES CANDIDUS,Normal Price,28
2503,Legacy Good Samaritan Medical Center,302,86331,CDM Revenue Code,HC ASPERGILLUS FUMIGATUS 1 ALLERGEN,Normal Price,27
2504,Legacy Good Samaritan Medical Center,302,86331,CDM Revenue Code,HC BIRD FANCIER 86331,Normal Price,96
2505,Legacy Good Samaritan Medical Center,302,86332,CDM Revenue Code,HC C1Q BINDING ASSAY,Normal Price,73
2506,Legacy Good Samaritan Medical Center,302,86336,CDM Revenue Code,HC INHIBIN-A (DIMER),Normal Price,137
2507,Legacy Good Samaritan Medical Center,302,86337,CDM Revenue Code,HC INSULIN ANTIBODY,Normal Price,166
2508,Legacy Good Samaritan Medical Center,302,86341,CDM Revenue Code,HC ISLET CELL CYTOPLASMIC  ANTIBODY IGG,Normal Price,248
2509,Legacy Good Samaritan Medical Center,302,86352,CDM Revenue Code,HC NK FUNCTION 86352,Normal Price,"1,341"
2510,Legacy Good Samaritan Medical Center,302,86357,CDM Revenue Code,HC NK FUNCTION -CCMC,Normal Price,378
2511,Legacy Good Samaritan Medical Center,302,86376,CDM Revenue Code,HC ANA 86376,Normal Price,46
2512,Legacy Good Samaritan Medical Center,302,86376,CDM Revenue Code,HC LIVER-KIDNEY MICROSOME ABS IGG,Normal Price,154
2513,Legacy Good Samaritan Medical Center,302,86406,CDM Revenue Code,HC _STREPTOZYME TITER,Normal Price,123
2514,Legacy Good Samaritan Medical Center,302,86431,CDM Revenue Code,HC ANA 86431,Normal Price,18
2515,Legacy Good Samaritan Medical Center,302,86431,CDM Revenue Code,HC BODY FLUID RHEUMATOID FACTOR,Normal Price,83
2516,Legacy Good Samaritan Medical Center,302,86596,CDM Revenue Code,HC CALCIUM VOLTAGE-GATED CHANNEL ANTIBODY PQ,Normal Price,519
2517,Legacy Good Samaritan Medical Center,302,86606,CDM Revenue Code,HC ASPERGILLUS ANTIBODY ID,Normal Price,135
2518,Legacy Good Samaritan Medical Center,302,86606,CDM Revenue Code,HC ASPERGILLUS ANTIBODY CF,Normal Price,135
2519,Legacy Good Samaritan Medical Center,302,86606,CDM Revenue Code,HC ASPERGILLUS ANTIBODY ID,Normal Price,109
2520,Legacy Good Samaritan Medical Center,302,86606,CDM Revenue Code,HC ASPERGILLUS FLAVUS,Normal Price,28
2521,Legacy Good Samaritan Medical Center,302,86606,CDM Revenue Code,HC ASPERGILLUS FUMIGATUS 2,Normal Price,28
2522,Legacy Good Samaritan Medical Center,302,86606,CDM Revenue Code,HC ASPERGILLUS FUMIGATUS 3,Normal Price,28
2523,Legacy Good Samaritan Medical Center,302,86611,CDM Revenue Code,HC BARTONELLA QUINTANA ANTIBODY IGM,Normal Price,217
2524,Legacy Good Samaritan Medical Center,302,86611,CDM Revenue Code,HC BARTONELLA HENSELAE ANTIBODY IGM,Normal Price,142
2525,Legacy Good Samaritan Medical Center,302,86611,CDM Revenue Code,HC BARTONELLA QUINTANA ANTIBODY IGG,Normal Price,217
2526,Legacy Good Samaritan Medical Center,302,86611,CDM Revenue Code,HC BARTONELLA HENSELAE ANTIBODY IGG,Normal Price,142
2527,Legacy Good Samaritan Medical Center,302,86612,CDM Revenue Code,HC BLASTOMYCES ANTIBODY ID,Normal Price,96
2528,Legacy Good Samaritan Medical Center,302,86615,CDM Revenue Code,HC B PERTUSSIS IGG ANTIBODY,Normal Price,71
2529,Legacy Good Samaritan Medical Center,302,86615,CDM Revenue Code,HC B PERTUSSIS  IGM ANTIBODY,Normal Price,71
2530,Legacy Good Samaritan Medical Center,302,86615,CDM Revenue Code,HC B PERTUSSIS  IGA ANTIBODY,Normal Price,71
2531,Legacy Good Samaritan Medical Center,302,86617,CDM Revenue Code,HC LYME ANTIBODY IGG WESTERN BLOT,Normal Price,126
2532,Legacy Good Samaritan Medical Center,302,86617,CDM Revenue Code,HC LYME ANTIBODY IGM WESTERN BLOT,Normal Price,126
2533,Legacy Good Samaritan Medical Center,302,86622,CDM Revenue Code,HC BRUCELLA ANTIBODY,Normal Price,84
2534,Legacy Good Samaritan Medical Center,302,86628,CDM Revenue Code,HC CANDIDA ALBICANS ANTIBODIES,Normal Price,65
2535,Legacy Good Samaritan Medical Center,302,86628,CDM Revenue Code,HC CANDIDA ALBICANS IGA,Normal Price,65
2536,Legacy Good Samaritan Medical Center,302,86628,CDM Revenue Code,HC CANDIDA ALBICANS IGM,Normal Price,65
2537,Legacy Good Samaritan Medical Center,302,86631,CDM Revenue Code,HC CHLAMYDIA TRACHOMATIS IGG TITER,Normal Price,49
2538,Legacy Good Samaritan Medical Center,302,86631,CDM Revenue Code,HC CHLAMYDIA PSITTACI IGG TITER,Normal Price,46
2539,Legacy Good Samaritan Medical Center,302,86631,CDM Revenue Code,HC CHLAMYDIA PNEUMONIAE IGG TITER,Normal Price,46
2540,Legacy Good Samaritan Medical Center,302,86632,CDM Revenue Code,HC CHLAMYDIA TRACHOMATIS IGM TITER,Normal Price,49
2541,Legacy Good Samaritan Medical Center,302,86632,CDM Revenue Code,HC CHLAMYDIA PSITTACI IGM TITER,Normal Price,49
2542,Legacy Good Samaritan Medical Center,302,86632,CDM Revenue Code,HC CHLAMYDIA PNEUMONIAE IGM TITER,Normal Price,49
2543,Legacy Good Samaritan Medical Center,302,86635,CDM Revenue Code,HC COCCIDIOIDES ANTIBODY CF,Normal Price,66
2544,Legacy Good Samaritan Medical Center,302,86635,CDM Revenue Code,HC COCCIDIOIDES IGG ANTIBODY,Normal Price,66
2545,Legacy Good Samaritan Medical Center,302,86635,CDM Revenue Code,HC COCCIDIOIDES IGM ANTIBODY,Normal Price,66
2546,Legacy Good Samaritan Medical Center,302,86635,CDM Revenue Code,HC COCCIDIOIDES ANTIBODY BY CF,Normal Price,121
2547,Legacy Good Samaritan Medical Center,302,86635,CDM Revenue Code,HC COCCICOIDES ANTIBODY-ID,Normal Price,66
2548,Legacy Good Samaritan Medical Center,302,86635,CDM Revenue Code,HC COCCICOIDES ANTIBODY-ID,Normal Price,88
2549,Legacy Good Samaritan Medical Center,302,86638,CDM Revenue Code,HC Q-FEVER PHASE I ANTIBODY IGG,Normal Price,128
2550,Legacy Good Samaritan Medical Center,302,86638,CDM Revenue Code,HC Q-FEVER PHASE II ANTIBODY IGG,Normal Price,128
2551,Legacy Good Samaritan Medical Center,302,86638,CDM Revenue Code,HC _Q-FEVER PHASE I IGG AB TITER,Normal Price,250
2552,Legacy Good Samaritan Medical Center,302,86638,CDM Revenue Code,HC _Q-FEVER PHASE II IGG AB TITER,Normal Price,250
2553,Legacy Good Samaritan Medical Center,302,86644,CDM Revenue Code,HC CYTOMEGALOVIRUS (CMV) ANTIBODY IGG,Normal Price,77
2554,Legacy Good Samaritan Medical Center,302,86645,CDM Revenue Code,HC CYTOMEGALOVIRUS ANTIBODY IGM,Normal Price,119
2555,Legacy Good Samaritan Medical Center,302,86648,CDM Revenue Code,HC DIPHTHERIA AB IGG,Normal Price,90
2556,Legacy Good Samaritan Medical Center,302,86658,CDM Revenue Code,HC COXSACKIE A9 VIRUS ANTIBODIES  BY CF,Normal Price,118
2557,Legacy Good Samaritan Medical Center,302,86658,CDM Revenue Code,HC COXSACKIE B AB TYPE 1,Normal Price,67
2558,Legacy Good Samaritan Medical Center,302,86658,CDM Revenue Code,HC COXSACKIE B AB TYPE 2,Normal Price,67
2559,Legacy Good Samaritan Medical Center,302,86658,CDM Revenue Code,HC COXSACKIE B AB TYPE 3,Normal Price,67
2560,Legacy Good Samaritan Medical Center,302,86658,CDM Revenue Code,HC COXSACKIE B AB TYPE 4,Normal Price,67
2561,Legacy Good Samaritan Medical Center,302,86658,CDM Revenue Code,HC COXSACKIE B AB TYPE 5,Normal Price,67
2562,Legacy Good Samaritan Medical Center,302,86658,CDM Revenue Code,HC COXSACKIE B AB TYPE 6,Normal Price,67
2563,Legacy Good Samaritan Medical Center,302,86658,CDM Revenue Code,HC POLIOVIRUS ANTIBODY TYPE 1,Normal Price,148
2564,Legacy Good Samaritan Medical Center,302,86658,CDM Revenue Code,HC POLIOVIRUS ANTIBODY TYPE 3,Normal Price,148
2565,Legacy Good Samaritan Medical Center,302,86668,CDM Revenue Code,HC FRANCISELLA TULARENSIS ANTIBODY IGG W/ REFLEX,Normal Price,98
2566,Legacy Good Samaritan Medical Center,302,86668,CDM Revenue Code,HC FRANCISELLA TULARENSIS IGG,Normal Price,98
2567,Legacy Good Samaritan Medical Center,302,86668,CDM Revenue Code,HC FRANCISELLA TULARENSIS IGM,Normal Price,98
2568,Legacy Good Samaritan Medical Center,302,86668,CDM Revenue Code,HC FRANCISELLA TULARENSIS ANTIBODY IGM W/ REFLEX,Normal Price,98
2569,Legacy Good Samaritan Medical Center,302,86682,CDM Revenue Code,HC ECHINOCOCCUS ANTIBODY IGG,Normal Price,200
2570,Legacy Good Samaritan Medical Center,302,86694,CDM Revenue Code,"HC HERPES SIMPLEX VIRUS (HSV) 1/2 ANTIBODIES, IGM BY",Normal Price,150
2571,Legacy Good Samaritan Medical Center,302,86694,CDM Revenue Code,HC HSV I/II COMBO ANTIBODY IGG SCREEN,Normal Price,77
2572,Legacy Good Samaritan Medical Center,302,86694,CDM Revenue Code,HC HSV I/II COMBO ANTIBODY IGM SCREEN,Normal Price,102
2573,Legacy Good Samaritan Medical Center,302,86698,CDM Revenue Code,HC HISTOPLASMOSIS MYCELIA ANTIBODY,Normal Price,124
2574,Legacy Good Samaritan Medical Center,302,86698,CDM Revenue Code,HC HISTOPLASMOSIS YEAST ANTIBODY,Normal Price,124
2575,Legacy Good Samaritan Medical Center,302,86698,CDM Revenue Code,HC HISTOPLASMA ANTIBODY ID,Normal Price,144
2576,Legacy Good Samaritan Medical Center,302,86698,CDM Revenue Code,HC HISTOPLASMA ANTIBODY ID,Normal Price,128
2577,Legacy Good Samaritan Medical Center,302,86701,CDM Revenue Code,HC HIV 1 DIFF ANTIBODY,Normal Price,225
2578,Legacy Good Samaritan Medical Center,302,86702,CDM Revenue Code,HC HIV 2 DIFF ANTIBODY,Normal Price,225
2579,Legacy Good Samaritan Medical Center,302,86707,CDM Revenue Code,HC HEPATITIS BE ANTIBODY - ARUP,Normal Price,127
2580,Legacy Good Samaritan Medical Center,302,86720,CDM Revenue Code,HC LEPTOSPIRA ANTIBODY IGM,Normal Price,175
2581,Legacy Good Samaritan Medical Center,302,86738,CDM Revenue Code,HC MYCOPLASMA PNEUMONIAE ANTIBODY IGG,Normal Price,87
2582,Legacy Good Samaritan Medical Center,302,86738,CDM Revenue Code,HC MYCOPLASMA PNEUMONIAE ANTIBODY IGM,Normal Price,87
2583,Legacy Good Samaritan Medical Center,302,86753,CDM Revenue Code,HC AMOEBIASIS ANTIBODY  (E HISTOLYTICA) IGG,Normal Price,120
2584,Legacy Good Samaritan Medical Center,302,86757,CDM Revenue Code,HC TYPHUS FEVER ANTIBODY IGG,Normal Price,132
2585,Legacy Good Samaritan Medical Center,302,86757,CDM Revenue Code,HC TYPHUS FEVER ANTIBODY IGM,Normal Price,132
2586,Legacy Good Samaritan Medical Center,302,86762,CDM Revenue Code,HC RUBELLA  ANTIBODY IGM,Normal Price,103
2587,Legacy Good Samaritan Medical Center,302,86762,CDM Revenue Code,HC RUBELLA IGG,Normal Price,77
2588,Legacy Good Samaritan Medical Center,302,86762,CDM Revenue Code,HC RUBELLA ANTIBODY IGM,Normal Price,102
2589,Legacy Good Samaritan Medical Center,302,86765,CDM Revenue Code,HC MEASLES - RUBEOLA ANTIBODY IGM,Normal Price,142
2590,Legacy Good Samaritan Medical Center,302,86774,CDM Revenue Code,HC TETANUS ANTIBODY IGG,Normal Price,90
2591,Legacy Good Samaritan Medical Center,302,86777,CDM Revenue Code,HC TOXOPLASMA ANTIBODY IGG,Normal Price,77
2592,Legacy Good Samaritan Medical Center,302,86778,CDM Revenue Code,HC TOXOPLASMA ANTIBODY IGM,Normal Price,102
2593,Legacy Good Samaritan Medical Center,302,86787,CDM Revenue Code,HC VARICELLA-ZOSTER ANTIBODY IGM,Normal Price,186
2594,Legacy Good Samaritan Medical Center,302,86787,CDM Revenue Code,HC VARICELLA-ZOSTER ANTIBODY IGG,Normal Price,186
2595,Legacy Good Samaritan Medical Center,302,86790,CDM Revenue Code,HC DENGUE FEVER AB IGG,Normal Price,82
2596,Legacy Good Samaritan Medical Center,302,86790,CDM Revenue Code,HC DENGUE FEVER AB IGM,Normal Price,82
2597,Legacy Good Samaritan Medical Center,302,86790,CDM Revenue Code,HC HEPATITIS E ANTIBODY IGM - ARUP,Normal Price,213
2598,Legacy Good Samaritan Medical Center,302,86793,CDM Revenue Code,HC YERSINIA IGA WESTERN BLOT,Normal Price,363
2599,Legacy Good Samaritan Medical Center,302,86793,CDM Revenue Code,HC YERSINIA IGG WESTERN BLOT,Normal Price,363
2600,Legacy Good Samaritan Medical Center,302,86794,CDM Revenue Code,HC ZIKA VIRUS IGM AB CAPTURE (MAC) ARUP,Normal Price,300
2601,Legacy Good Samaritan Medical Center,306,87081,CDM Revenue Code,HC ACANTHAMOEBA CULTURE,Normal Price,190
2602,Legacy Good Samaritan Medical Center,306,87109,CDM Revenue Code,HC UREAPLASMA AND MYCOPLASMA CULTURE,Normal Price,167
2603,Legacy Good Samaritan Medical Center,306,87116,CDM Revenue Code,HC CULTURE AFB BLOOD ARUP,Normal Price,164
2604,Legacy Good Samaritan Medical Center,306,87118,CDM Revenue Code,HC AFB IDENTIFICATION,Normal Price,367
2605,Legacy Good Samaritan Medical Center,306,87186,CDM Revenue Code,HC ANTIBIOTIC MIC SUSCEPTIBILITY SINGLE DRUG,Normal Price,332
2606,Legacy Good Samaritan Medical Center,306,87206,CDM Revenue Code,HC ACANTHAMOEBA STAIN,Normal Price,66
2607,Legacy Good Samaritan Medical Center,306,87278,CDM Revenue Code,HC LEGIONELLA PNEUMOPHILA DFA,Normal Price,144
2608,Legacy Good Samaritan Medical Center,306,87301,CDM Revenue Code,HC HIV-1 DRUG RESISTANCE BY NGS,Normal Price,"1,134"
2609,Legacy Good Samaritan Medical Center,306,87338,CDM Revenue Code,HC HELICOBACTER PYLORI STOOL ANTIGEN,Normal Price,179
2610,Legacy Good Samaritan Medical Center,306,87350,CDM Revenue Code,HC HEPATITIS BE ANTIGEN - ARUP,Normal Price,114
2611,Legacy Good Samaritan Medical Center,306,87385,CDM Revenue Code,HC HISTOPLASMA ANTIGEN EIA,Normal Price,373
2612,Legacy Good Samaritan Medical Center,306,87385,CDM Revenue Code,HC URINE HISTOPLASMA ANTIGEN QNT,Normal Price,338
2613,Legacy Good Samaritan Medical Center,306,87476,CDM Revenue Code,HC BODY FLUID LYME DISEASE BY PCR,Normal Price,324
2614,Legacy Good Samaritan Medical Center,306,87476,CDM Revenue Code,HC LYME (BORRELIA BURGDORFERI) BY PCR,Normal Price,324
2615,Legacy Good Samaritan Medical Center,306,87491,CDM Revenue Code,HC CHLAMYDIA TRACHOMATIS BY APTIMA,Normal Price,297
2616,Legacy Good Samaritan Medical Center,306,87491,CDM Revenue Code,HC CHLAMYDIA BY TMA,Normal Price,53
2617,Legacy Good Samaritan Medical Center,306,87535,CDM Revenue Code,HC HIV-1 QUALITATIVE PLASMA,Normal Price,308
2618,Legacy Good Samaritan Medical Center,306,87556,CDM Revenue Code,HC UW AFB DNA BY PCR,Normal Price,588
2619,Legacy Good Samaritan Medical Center,306,87563,CDM Revenue Code,HC MYCOPLASMA GENITALIUM,Normal Price,150
2620,Legacy Good Samaritan Medical Center,306,87581,CDM Revenue Code,HC MYCOPLASMA PNEUMONIA BY PCR,Normal Price,283
2621,Legacy Good Samaritan Medical Center,306,87591,CDM Revenue Code,HC N GONORRHOEAE BY APTIMA,Normal Price,297
2622,Legacy Good Samaritan Medical Center,306,87591,CDM Revenue Code,HC GC BY TMA,Normal Price,53
2623,Legacy Good Samaritan Medical Center,306,87662,CDM Revenue Code,HC URINE ZIKA VIRUS ARUP,Normal Price,446
2624,Legacy Good Samaritan Medical Center,306,87662,CDM Revenue Code,HC ZIKA VIRUS BLOOD ARUP,Normal Price,446
2625,Legacy Good Samaritan Medical Center,306,87798,CDM Revenue Code,HC UREAPLASMA PARVUM,Normal Price,150
2626,Legacy Good Samaritan Medical Center,306,87798,CDM Revenue Code,HC UREAPLASMA UREALYTICUM,Normal Price,150
2627,Legacy Good Samaritan Medical Center,306,87798,CDM Revenue Code,HC ADENOVIRUS MOLECULAR DETECTION PCR -PLASMA,Normal Price,462
2628,Legacy Good Samaritan Medical Center,306,87798,CDM Revenue Code,HC BODY FLUID BAL LEGIONELLA PCR,Normal Price,432
2629,Legacy Good Samaritan Medical Center,306,87798,CDM Revenue Code,HC BODY FLUID PARVOVIRUS B19 BY PCR,Normal Price,324
2630,Legacy Good Samaritan Medical Center,306,87798,CDM Revenue Code,HC BODY FLUID TOXOPLASMA GONDII PCR,Normal Price,373
2631,Legacy Good Samaritan Medical Center,306,87798,CDM Revenue Code,HC CSF JOHN CUNNINGHAM (JC) VIRUS,Normal Price,521
2632,Legacy Good Samaritan Medical Center,306,87798,CDM Revenue Code,HC JOHN CUNNINGHAM (JC) VIRUS,Normal Price,719
2633,Legacy Good Samaritan Medical Center,306,87798,CDM Revenue Code,HC PARVOVIRUS DNA BY PCR,Normal Price,691
2634,Legacy Good Samaritan Medical Center,306,87798,CDM Revenue Code,HC MYCOPLASMA HOMINIS,Normal Price,150
2635,Legacy Good Samaritan Medical Center,306,87801,CDM Revenue Code,HC UW BACTERIAL DNA BY PCR,Normal Price,786
2636,Legacy Good Samaritan Medical Center,306,87801,CDM Revenue Code,HC UW FUNGAL DNA BY PCR,Normal Price,"1,256"
2637,Legacy Good Samaritan Medical Center,306,87801,CDM Revenue Code,HC UW NEXT GEN SEQ 16S,Normal Price,"2,773"
2638,Legacy Good Samaritan Medical Center,306,87903,CDM Revenue Code,HC HIV-1 PHENOTYPE,Normal Price,"2,189"
2639,Legacy Good Samaritan Medical Center,306,87904,CDM Revenue Code,HC HIV PHENO 87904,Normal Price,108
2640,Legacy Good Samaritan Medical Center,306,87999,CDM Revenue Code,HC HIV-1 TROFILE RNA,Normal Price,"5,332"
2641,Legacy Good Samaritan Medical Center,306,87999,CDM Revenue Code,HC HIV-1 TROFILE DNA,Normal Price,"5,332"
2642,Legacy Good Samaritan Medical Center,310,89321,CDM Revenue Code,HC SEMEN POST VASECTOMY,Normal Price,111
2643,Legacy Good Samaritan Medical Center,310,89321,CDM Revenue Code,HC UNCENTRIFUGED POST VASECTOMY,Normal Price,111
2644,Legacy Good Samaritan Medical Center,310,0003M,CDM Revenue Code,HC NONALCOHOLIC STEATOHEPATITIS (NASH),Normal Price,"1,523"
2645,Legacy Good Samaritan Medical Center,310,0035U,CDM Revenue Code,HC CSF 14-3-3 TAU 0035U,Normal Price,741
2646,Legacy Good Samaritan Medical Center,306,87281,CDM Revenue Code,HC PNEUMOCUSTIS DFA,Normal Price,706
2647,Legacy Good Samaritan Medical Center,306,87103,CDM Revenue Code,HC CULTURE  BLOOD FUNGUS,Normal Price,206
2648,Legacy Good Samaritan Medical Center,306,87149,CDM Revenue Code,HC AFB PROBE,Normal Price,131
2649,Legacy Good Samaritan Medical Center,306,87081,CDM Revenue Code,HC HELIBACTER PYLORIA BY UREA,Normal Price,64
2650,Legacy Good Samaritan Medical Center,306,87260,CDM Revenue Code,HC ADENOVIRUS DETECTION,Normal Price,270
2651,Legacy Good Samaritan Medical Center,306,87338,CDM Revenue Code,HC HELICOBACTER PYLORI STOOL ANTIGEN TEST,Normal Price,69
2652,Legacy Good Samaritan Medical Center,390,-1,CDM Revenue Code,HC ARC STAT FEE,Normal Price,827
2653,Legacy Good Samaritan Medical Center,300,86870,CDM Revenue Code,HC ANTIBODY ID,Normal Price,434
2654,Legacy Good Samaritan Medical Center,300,86870,CDM Revenue Code,HC ADDITIONAL ANTIBODY WORKUP,Normal Price,429
2655,Legacy Good Samaritan Medical Center,300,86922,CDM Revenue Code,HC AHG CROSSMATCH INTERPRETATION,Normal Price,200
2656,Legacy Good Samaritan Medical Center,300,86922,CDM Revenue Code,HC GEL CROSSMATCH INTERPRETATION,Normal Price,200
2657,Legacy Good Samaritan Medical Center,302,86850,CDM Revenue Code,HC ANTIBODY SCREEN,Normal Price,254
2658,Legacy Good Samaritan Medical Center,300,86886,CDM Revenue Code,HC ANTIBODY TITER,Normal Price,361
2659,Legacy Good Samaritan Medical Center,302,86317,CDM Revenue Code,HC CMV SCREENING PRODUCTS,Normal Price,90
2660,Legacy Good Samaritan Medical Center,300,86920,CDM Revenue Code,HC CROSSMATCH,Normal Price,200
2661,Legacy Good Samaritan Medical Center,305,86079,CDM Revenue Code,HC INVIVO XM,Normal Price,754
2662,Legacy Good Samaritan Medical Center,390,P9012,CDM Revenue Code,HC CRYOPRECIPITATE,Normal Price,315
2663,Legacy Good Samaritan Medical Center,300,86905,CDM Revenue Code,HC ANTIGEN TYPE,Normal Price,434
2664,Legacy Good Samaritan Medical Center,302,86880,CDM Revenue Code,HC DIRECT COOMBS,Normal Price,212
2665,Legacy Good Samaritan Medical Center,305,85460,CDM Revenue Code,HC FETAL CELL SCREEN,Normal Price,92
2666,Legacy Good Samaritan Medical Center,302,86813,CDM Revenue Code,HC HLA TYPING-COMPLETE,Normal Price,"1,004"
2667,Legacy Good Samaritan Medical Center,302,86805,CDM Revenue Code,HC HLA CROSSMATCH-PLATELETS,Normal Price,441
2668,Legacy Good Samaritan Medical Center,300,86905,CDM Revenue Code,HC ARC HLA X-MATCH PLT GRAN,Normal Price,431
2669,Legacy Good Samaritan Medical Center,302,86817,CDM Revenue Code,HC HLA DONOR SEARCH FEE-ARC,Normal Price,403
